OG_name	Emi219	Emi370	Emi374	Emi379	Emihu1	
OG1_5_1158	5	3	2	2	2	
OG1_5_1159	4	5	1	1	3	
OG1_5_1160	3	3	2	1	5	
OG1_5_1161	0	0	0	0	14	
OG1_5_1162	3	3	2	3	3	
OG1_5_1163	0	0	0	0	14	
OG1_5_1164	2	4	0	1	7	
OG1_5_1165	3	2	4	3	2	
OG1_5_1166	1	1	1	0	11	
OG1_5_1167	0	0	0	0	14	
OG1_5_1168	4	3	2	2	3	
OG1_5_1169	3	3	3	2	3	
OG1_5_1170	2	3	2	3	4	
OG1_5_1171	4	3	2	3	2	
OG1_5_1172	2	3	1	5	3	
OG1_5_1173	2	5	2	3	2	
OG1_5_1174	0	14	0	0	0	
OG1_5_1175	3	4	3	2	2	
OG1_5_1176	5	2	1	3	3	
OG1_5_1177	4	3	4	1	2	
OG1_5_1178	5	2	1	0	5	
OG1_5_1179	2	2	3	3	3	
OG1_5_1180	5	3	2	1	2	
OG1_5_1181	3	5	2	2	1	
OG1_5_1182	13	0	0	0	0	
OG1_5_1183	2	1	1	1	8	
OG1_5_1184	7	1	1	1	3	
OG1_5_1185	4	1	2	3	3	
OG1_5_1186	5	2	0	4	2	
OG1_5_1187	4	4	2	1	2	
OG1_5_1188	4	3	1	2	3	
OG1_5_1189	8	1	1	0	3	
OG1_5_1190	2	3	2	2	4	
OG1_5_1191	3	3	3	2	2	
OG1_5_1192	4	8	1	0	0	
OG1_5_1193	3	4	2	1	3	
OG1_5_1194	3	5	1	1	3	
OG1_5_1195	2	5	2	2	2	
OG1_5_1196	2	2	2	2	5	
OG1_5_1197	2	3	1	1	6	
OG1_5_1198	1	3	0	1	8	
OG1_5_1199	3	3	2	2	3	
OG1_5_1200	1	0	0	0	12	
OG1_5_1201	2	2	1	0	8	
OG1_5_1202	0	0	0	1	12	
OG1_5_1203	1	5	2	2	3	
OG1_5_1204	1	3	1	0	8	
OG1_5_1205	1	1	1	1	9	
OG1_5_1206	1	1	1	0	10	
OG1_5_1207	1	3	1	1	7	
OG1_5_1208	0	0	0	0	13	
OG1_5_1209	2	2	2	2	5	
OG1_5_1210	3	2	2	2	4	
OG1_5_1211	1	2	0	1	9	
OG1_5_1212	2	3	2	2	4	
OG1_5_1213	4	2	2	2	3	
OG1_5_1214	2	2	4	2	3	
OG1_5_1215	2	3	1	4	3	
OG1_5_1216	3	4	3	1	2	
OG1_5_1217	4	2	1	1	5	
OG1_5_1218	2	5	1	1	4	
OG1_5_1219	1	3	2	2	5	
OG1_5_1220	1	6	4	2	0	
OG1_5_1221	1	11	1	0	0	
OG1_5_1222	3	4	2	2	2	
OG1_5_1223	3	2	2	3	3	
OG1_5_1224	2	3	3	2	3	
OG1_5_1225	5	3	1	2	1	
OG1_5_1226	2	2	2	2	4	
OG1_5_1227	2	2	2	2	4	
OG1_5_1228	2	2	3	3	2	
OG1_5_1229	8	1	1	1	1	
OG1_5_1230	3	2	1	2	4	
OG1_5_1231	4	3	2	2	1	
OG1_5_1232	5	4	1	1	1	
OG1_5_1233	3	7	1	1	0	
OG1_5_1234	3	3	2	2	2	
OG1_5_1235	6	2	1	1	2	
OG1_5_1236	2	6	0	0	4	
OG1_5_1237	3	2	2	2	3	
