Emi219|CAMPEP_0187748444
Emi219|CAMPEP_0187760532
Emi219|CAMPEP_0187763318
Emi219|CAMPEP_0187768164
Emi219|CAMPEP_0187779220
Emi219|CAMPEP_0187781802
Emi219|CAMPEP_0187788096
Emi219|CAMPEP_0187806494
Emi370|CAMPEP_0187666162
Emi370|CAMPEP_0187667376
Emi370|CAMPEP_0187677918
Emi370|CAMPEP_0187693276
Emi370|CAMPEP_0187704756
Emi370|CAMPEP_0187718966
Emi374|CAMPEP_0187574958
Emi374|CAMPEP_0187578458
Emi374|CAMPEP_0187598504
Emi374|CAMPEP_0187606670
Emi374|CAMPEP_0187606928
Emi374|CAMPEP_0187610068
Emi379|CAMPEP_0187625488
Emi379|CAMPEP_0187629078
Emi379|CAMPEP_0187629296
Emi379|CAMPEP_0187634950
Emi379|CAMPEP_0187637558
Emi379|CAMPEP_0187645722
Emi379|CAMPEP_0187656516
Emihu1|234105
Emihu1|443389
Emihu1|72565
