gID	E1-Q	E1-R	E1-S	E1-T	E1-V	E1-X	E1-Z1	E1-Z4	E2-Q	E2-R	E2-S	E2-T	E2-V	E2-X	E2-Z5	E2-Z9	E3-Q	E3-R	E3-S	E3-T	E3-V	E3-X	E3-Z10	E3-Z11
CCMP2436	205871	169647	202043	202855	148416	164234	186601	188044	203734	141763	213235	249868	144091	151579	191653	168721	199057	202377	117727	201327	163038	116000	215733	216517
Lotglo	164076	142834	183168	177098	164847	156337	155860	157709	167431	124316	172979	192392	137119	140540	147590	146303	184578	165572	123871	176318	147821	121810	185958	167608
Lanabb	28270	24513	33724	37315	30331	26944	33130	29867	31638	22298	31686	31677	25880	26336	27073	32809	33316	29494	22048	31962	24240	21834	36558	37724
Guithe	112701	107579	124801	133277	103086	107134	115802	107173	121056	90260	122566	134477	93129	97560	102794	97513	130781	110405	77848	125005	86529	68532	125166	108017
Gymsp	76842	52262	82959	77839	68180	54982	72489	65977	73580	48621	75698	83236	56601	57353	58092	69820	86216	73833	48991	71697	55876	47974	85276	79503
Emihux	539159	1457099	556718	674014	762277	1195816	560773	606420	599682	1769056	600861	752463	808311	1789259	692504	532251	591490	605877	1025309	612228	1114009	1520717	575729	1020504
RCC7011	5952	3736	5976	8931	3110	3406	5839	4317	4729	3552	5912	5981	3105	3324	4359	4457	6238	4869	2556	4985	3337	2782	6098	5661
Astrad	91915	76786	106721	102307	136083	99566	94447	84642	94380	80883	94079	106845	105622	109040	77591	86917	104545	95975	97968	97573	135841	128693	101032	96448
Palbil	109965	83522	120715	120510	96662	89998	114623	103359	110902	77712	114627	129215	87398	83287	94463	96185	120073	110243	73331	112381	84415	70687	120855	112185
Entsp	36265	35462	45434	42519	62851	42484	42415	39888	43048	37879	40559	43865	53648	53133	33361	39825	43751	42185	46294	44094	68751	51713	46787	42707
Coswai	76077	69068	93678	85849	103500	80585	81586	76606	83215	63125	75980	84436	83776	79722	63485	78070	83888	76370	67950	83637	79485	65683	91036	81091
Gamaus	254576	290523	273165	270921	203751	263000	256164	268863	296509	233542	287400	292944	221083	231629	270293	233005	280778	280899	187412	296372	231172	164150	310339	276572
CCMP2135	71442	75967	77554	75403	75567	73585	67974	74348	81110	65342	82515	93316	64424	73755	76891	89611	81254	95277	63055	82778	75928	57501	75213	112752
Rhosal	114434	89195	110627	111271	78389	86163	97429	90480	103233	73725	111164	127120	74014	79532	92694	86717	110284	102734	62075	103142	82305	57266	115315	113574
Hettri	308289	374997	297088	295568	289840	336918	281920	296884	337628	296338	342720	344605	266410	272000	333148	250213	307576	311274	217182	327991	268003	162709	344690	323184
Pessp	54106	48377	65384	65204	63007	53510	67303	57544	63862	46468	59203	63657	52504	55143	52038	60622	65969	56248	43838	63110	48784	45961	74139	67247
Biglon	61846	59526	74287	69679	70910	65531	67126	66486	69131	56051	70128	76611	61189	67804	62221	77914	75721	76984	56751	72209	73566	64305	75386	92980
Aletam	693126	738640	710683	728148	521345	684852	680004	689947	765446	653566	768804	828547	569300	591760	718079	593748	727080	715644	469263	783450	602575	413986	801114	728847
Myrrub	106843	59818	108134	111668	69981	64722	116519	87248	88927	56215	94444	108566	57510	64752	77551	104073	107279	85511	49670	89071	70409	63921	130576	125125
Prypar	240391	167952	245418	230624	156795	164045	226841	245372	226318	146278	238964	299751	144339	152564	244793	221264	238805	246740	129286	233734	182605	134680	235939	258818
Ammsp	113988	99995	138633	136082	122172	108227	122637	133702	136185	88724	122202	171200	98402	105551	101994	128613	129263	118980	82891	142148	89458	85584	146158	128800
Chrrho	62668	59595	68213	67497	61766	56907	61742	69423	69653	51104	72635	83880	52418	57044	74415	91470	71938	90469	51400	75243	56972	52316	66143	121461
Rholen	90784	88936	95189	96177	78722	87028	87211	85495	97187	72505	97008	110183	72358	76926	84331	77318	93405	88536	60349	97694	70849	54428	102523	90870
Tetast	122695	114102	133113	133096	96118	109645	120129	113970	131265	96217	130929	144939	93117	101250	108975	100406	130707	121585	78513	132230	87699	69395	131679	118193
Parban	76708	61044	91445	83995	76935	66806	79866	70142	79191	53676	76480	86609	61405	64612	62275	71764	86862	80541	54438	80867	67093	59120	87091	80129
Pelbei	422803	1476807	516413	449970	869639	1338521	417176	491319	422462	723513	420467	487148	636149	767807	389702	487146	657028	651475	748802	625004	805459	860700	609458	817450
Tetchu	76015	65461	84595	79916	60918	65316	69835	71150	80964	55701	81224	90460	56711	59843	67437	64100	77130	75475	47970	82071	55099	41727	82236	72851
Corhys	77361	63368	91883	87544	101922	87115	91386	74339	81796	75050	78292	88213	85519	102983	66937	85520	88060	78136	78644	79491	129287	119495	92325	86640
Phapar	168150	172020	184950	190872	204658	158510	158906	200990	178127	159057	217545	225866	134285	172745	235798	368372	210209	325130	170775	224656	158927	159709	172141	519852
Glowit	157150	145769	184898	192139	166147	145882	191407	169887	224010	131050	182132	187817	137118	147088	165183	209994	199832	191746	127995	179370	134666	131212	197719	258329
RCC7016	3161	2472	3467	3842	2485	2473	3470	2663	2985	2252	3061	3691	2263	2537	2557	2472	2978	2967	1980	3062	2551	2343	3307	3094
RCC1024	65044	101739	66801	64896	66816	99594	52637	57050	70438	106786	67878	81435	61518	105432	58569	48298	59499	61566	58013	68165	150525	70595	56291	55089
Pyrpar	129745	112423	145901	134450	107359	112772	121036	121729	137582	92393	130921	149793	97241	104103	110971	109945	137341	130075	82301	137156	96056	78084	137151	122599
Plamac	110982	81451	127778	121388	93791	85478	123610	105533	110891	74915	107458	135848	80673	84882	87714	110123	117671	110265	67454	112955	87607	75309	127537	113538
Manant	91113	81994	91188	89292	68897	80436	80014	81339	91932	66469	92553	107686	64592	71109	81387	75572	89454	87903	56897	91068	74763	51077	96101	90707
Cycmen	81277	78641	102397	98409	119755	83657	93574	90233	96192	72951	90684	95710	91207	91896	79045	110924	100537	104532	84152	98601	89140	77836	101858	127262
Kryfol	701624	827519	680606	719766	730913	766952	670625	718531	781407	720810	764268	799647	747726	700953	752204	611769	716644	714635	636663	776778	865729	463752	833535	760634
Strsp	113231	67060	112110	109405	85923	76793	109482	89651	97517	80658	100417	127040	78196	79011	80959	98801	117232	141956	72400	109851	139855	116171	123252	116156
Proret	365055	442603	357555	370014	284283	394637	349358	368312	420275	361614	420106	414481	322847	332430	401666	308522	376995	374565	249911	408252	305379	184014	428895	385802
Gepoce	153888	317891	152364	163327	173022	251116	151736	188896	178018	289347	177443	220787	170234	316236	190751	150838	160056	155830	157537	185265	244721	235064	179150	178441
Spuelo	135905	139151	140049	146356	120049	128115	135027	142797	134833	115904	143022	150694	109016	112551	143242	124897	147862	138807	270197	142665	131972	86322	162845	156759
Glefol	483748	576525	448100	487093	484590	529858	458665	489810	522513	500418	527047	554987	506937	468033	526443	414968	484171	486622	445067	520572	698175	322493	574123	532625
Thamin	188149	151655	212522	192684	211297	165033	185744	172414	190777	138208	191297	216479	166462	172617	162372	183331	206177	203599	150865	190529	206478	164722	210192	224536
Thapun	93130	88058	106183	100432	117042	94598	91938	90538	106557	77992	100157	110477	93256	95061	83392	84190	101866	98528	79964	105843	100196	77657	104873	93529
Isosp	178521	250360	183131	170867	166141	221219	162597	183822	169253	285674	179484	225902	171259	333096	222722	156790	174354	172726	167737	177182	225670	262348	188243	191223
Prasin	61612	53887	61197	60898	44169	48986	53570	56141	64471	45952	67338	79227	41600	47130	59237	59576	64048	71423	38740	126845	45822	34652	60838	79932
Comcoe	100946	120811	133059	144940	205366	83553	129406	162856	98864	121013	153822	122551	93900	140441	211553	478246	190809	376098	171258	143047	123579	151255	127401	699975
Psedel	127092	255578	158204	145153	930723	704664	143490	130572	151320	196370	133114	151393	451111	626824	221232	137407	146859	146677	843291	153414	1071653	1434502	152727	164125
RCC8568	2453	2267	2576	2867	2332	2297	3807	2400	2696	2057	2818	3057	1991	2264	2347	3027	3424	2532	1684	2672	1965	1732	3541	3557
Hemruf	105503	88002	111969	119410	78069	85872	99615	90770	105506	72868	108580	125127	73045	77437	88042	81829	106085	98966	62160	108024	74984	57667	106137	98051
Batpra	70820	76454	85096	81049	111489	86990	77640	78730	82198	69930	84299	88812	82725	83825	77063	89024	84189	86360	72599	84315	78864	68719	91719	103968
Craaus	69703	57938	77516	72050	94601	65330	67649	65944	140990	58814	69493	76717	74031	72022	56602	58106	65562	66624	68193	69564	97913	67523	72094	70270
Micpus	32706	28319	34645	32029	32170	29623	28614	30103	32691	24483	33619	38409	25507	27696	29898	32384	34835	39790	23602	33884	27788	21964	34170	40619
Poraer	56342	51683	69522	63389	84910	89852	65050	51622	54973	46336	49864	60298	52627	62307	50094	62920	59256	60069	219981	59668	82879	159192	58376	64151
Rhoabb	131619	120327	143772	146470	106695	117302	134816	124596	139654	99401	141146	157266	100463	107641	118623	118199	141585	131221	86308	142432	108635	78201	151488	142366
Thasp	166891	159915	197285	182951	219051	182657	168372	163261	188319	141991	175184	194568	184572	180865	148381	156822	186658	176641	160814	188731	197601	162334	191351	170553
Ostpra	35769	39516	42417	39476	56333	46094	36882	37054	40561	34396	40419	42836	42801	42152	35256	35832	39317	37411	34675	40791	39700	34467	43878	38917
Pseare	78692	136222	95478	88156	476831	341061	91350	84051	90076	114884	85087	94322	244394	322389	72002	85466	93749	89333	487745	94291	543555	732955	97792	88611
Fibjap	49441	35341	53238	55392	38539	36158	48741	41461	46114	30995	48084	55640	32751	35284	38584	42323	50296	45640	29107	46744	40775	33415	52361	49958
Corpen	132310	123570	156085	152213	161459	145052	151571	135007	153636	114156	141976	160448	127550	146390	122042	138048	149923	138321	116420	150077	159928	162246	160554	146431
Chabre	15303	8097	15346	13132	20218	10704	12129	10040	10925	10690	13283	15865	17954	15516	9845	11192	15489	15473	16088	11591	23601	17620	14485	16299
Isogal	222983	165293	227446	224827	135564	149225	258391	234366	218118	146372	236192	273486	131805	147742	211541	235054	210466	201551	110564	210591	142413	109371	264800	259092
Symkaw	24968	32595	31029	29072	23998	28988	27028	30105	29940	23856	29094	31134	22425	24252	28422	27513	31137	31488	20547	33632	22723	17948	34412	31870
Chreri	171815	178222	231492	241801	141023	153539	263112	220684	266932	123380	189788	239147	124307	150143	282073	166213	206942	211412	122295	262187	155328	259598	194888	194621
Lotoce	69673	65143	79038	76665	71693	67315	71088	71089	79563	56682	76824	86634	60273	65449	63423	66240	79501	73247	55059	86627	60614	55490	81220	72736
Symsp	1914577	1925127	2070782	2123739	1606319	1926804	1979212	1811515	1870797	1482411	1961589	2080776	1505504	1576406	1790821	1760710	2051403	1945002	1363592	1980314	1715154	1572829	2208929	2216602
Pycpro	64847	62348	71316	67100	66587	64658	60356	62822	66038	50941	70395	80859	54259	58845	63800	71748	72304	79621	51522	69359	61671	48668	70263	92109
Polpar	129653	142652	146827	150093	167238	163430	148473	132400	143149	122087	145131	162805	141171	143066	126984	142565	145352	128953	119783	144497	136722	146914	164804	145957
Azaspi	1735818	1763620	1411088	1431842	889645	1375214	1391262	1380209	1667760	1543057	1956603	1336358	1305304	1186456	2179234	877355	1118511	1230424	660190	1068662	787198	459344	1813797	1233841
Micsp	272629	278947	332867	350606	270363	255815	323579	265159	335151	230477	277767	348972	202317	241647	323006	227725	316368	329403	405581	341517	264785	332289	317145	293674
Graoce	76027	77457	91951	85604	119118	88400	77977	80324	93912	72917	83325	90309	98104	97196	69275	74446	89865	86063	84313	93776	102100	74879	90960	77773
Chrvel	112946	110326	135536	130652	119301	119022	116427	122973	128704	95414	132680	137248	106117	106335	117914	129237	128710	132385	92949	136927	95226	91753	132079	149806
CCMP1999	48604	43135	55752	51666	43061	44287	45767	45103	51236	35296	51836	57279	38271	40025	42436	41957	51312	49633	32228	51408	37275	29738	53319	46401
RCC2288	103767	129865	103231	112263	91357	120139	97119	100883	113157	99238	116213	133929	98229	99511	101358	86842	106565	99692	79178	110751	109884	87324	113577	103499
Gonspi	243379	295386	257455	261422	183409	259344	236971	259756	340720	271335	307210	284289	235002	234523	279311	217381	275043	271745	176574	290986	238443	133186	299108	274414
Psefra	704415	780857	610255	614730	768385	835636	590049	599925	705246	700636	800923	594379	722292	773597	892687	409633	489966	544417	516402	481359	863611	852243	760067	537107
RCC8562	2331	2280	2902	2830	2018	2374	2370	2304	2634	2106	2603	3032	1896	2149	2186	2199	2834	2473	1910	2847	1984	2251	2909	2643
Thawei	114313	101322	142315	125654	144077	119321	123547	110980	123136	92150	117053	131514	118637	119340	98540	110929	124819	116854	98587	122049	140352	110244	136242	123653
Skemar	173328	155934	206695	193632	269397	178939	187085	175500	192710	153808	187563	208225	209406	191056	160535	185909	209738	197334	181472	200848	225176	179476	206488	210094
Acasp	141916	103021	147002	133339	94386	104738	127995	122688	131951	91090	135522	159584	90095	96811	118239	117803	131865	131671	75349	127321	104441	80002	147404	139493
Filnol	65829	59869	85771	83592	73840	64500	90130	72052	79756	52628	73090	78923	58364	64285	60904	75672	87763	68855	49851	82445	54728	55491	91873	76606
Pelcal	147345	784457	152707	145731	253546	644193	136068	144417	181577	362088	159911	187520	169099	621703	148981	122657	151187	156288	198676	310876	718585	277427	150568	174215
RCC8564	3301	2353	3697	4373	2030	2327	2988	2726	2756	2223	3199	3588	1790	2164	2469	2451	2500	2682	1644	2788	2050	2165	3342	3014
Sarsp	30264	21324	26965	33501	20168	21325	24046	23861	26373	19243	29085	32654	18967	20527	23051	20621	25395	27042	17107	25641	26999	17182	25936	25377
Phasp	82951	67608	83520	89585	55951	64802	86612	111700	102523	59534	102069	135638	55505	60385	113566	89929	88124	87344	46904	109565	61194	43451	89605	96939
Ditbri	208124	165660	241493	240716	298890	204408	219114	196358	205114	165559	213909	224977	230184	217350	178995	222483	227919	212548	207119	211940	249272	208772	242409	265340
Stetur	95456	78361	112064	108902	135638	95953	97586	89318	99028	73161	95796	109219	91102	94299	80036	90945	100814	95051	83928	100866	105860	104984	107567	97490
Debhan	47124	31206	52773	54270	48772	33405	66986	47909	45151	35235	49711	53385	34404	39566	46705	78787	61741	59202	34279	51187	41255	44030	70900	105570
RCC9983	8638	4511	7935	7214	4495	5216	6119	4687	5021	3567	6403	6703	3657	4110	4882	5254	7092	5904	3273	4885	4450	3747	7727	7672
Parglo	138641	158773	171170	181544	252959	119570	174722	211191	139475	161984	202486	172655	135180	179670	253773	547886	237096	432566	210442	189355	155232	169005	175008	745534
RCC9985	13448	8430	13512	14577	12918	6818	13965	12231	8403	8356	14642	15040	6805	9643	14660	28510	16542	23718	10634	10658	9811	10842	13592	41799
RCC8566	2710	2228	2862	3236	1712	2152	2726	2442	2787	2065	2856	3085	1840	2084	2386	2302	2714	2587	1488	3103	1869	1727	2842	2570
RCC9987	43124	4786	26089	23888	9222	5612	19751	8514	8492	5176	24240	24875	6578	5589	13042	13963	29478	17654	8115	6815	25967	11659	25528	34190
Permar	10775	9296	12077	12735	9900	9584	12927	10891	12004	8573	11853	12664	9959	9973	9899	11576	14896	11424	8278	12140	9902	7056	13793	15098
RCC9989	24887	4202	17323	16321	5261	4508	14246	6732	6464	4360	14771	15170	4497	4686	10258	10924	14592	11058	3925	5757	9983	6376	18063	27950
RCC9988	12294	4321	11082	8646	4503	4539	7234	6093	5925	3771	9395	11292	4003	4152	6774	6136	9783	9133	3674	5528	9379	6200	9253	10900
Chaneo	134688	108317	159809	150764	181855	133927	156529	135739	148668	111904	148655	162278	140767	163317	120837	153882	157343	131421	121673	145032	166863	162484	182825	160272
Tharot	160843	171963	236163	315389	223674	199458	266385	202014	223601	137481	217300	204973	198768	191816	225301	202190	216417	196955	175711	235746	244905	370238	196432	191403
Bignat	295667	265260	324957	299335	287010	299178	275680	270269	319264	241797	370192	381308	262868	262906	278623	263569	307837	286711	223806	279641	267273	210545	314766	296227
Mespul	324837	335736	323139	336644	279520	343103	331211	302363	329436	281064	344859	362971	263412	272308	329035	293648	320488	308578	226626	330108	305975	277908	365559	348204
Tiafus	244602	203217	265863	267649	384035	215065	252681	233844	247615	245421	250020	289544	324874	260415	235700	238431	262538	238198	281541	264358	408655	198108	298143	272467
Chadic	54418	45426	65114	59322	66115	52301	56145	51922	56936	44433	54432	59904	55095	59463	44421	51490	59461	57181	46472	57070	65977	49323	63596	55528
Callep	120766	112712	131023	128597	100608	116504	133287	153595	142081	95776	136864	170155	92792	104551	145598	124446	128361	129104	86516	144414	103143	91738	132989	134064
Ampmas	287787	327241	332505	313073	249028	307263	297191	325268	344593	256248	322787	370915	249840	266220	311006	285754	339877	333487	214688	362790	239276	185501	356204	318129
Perche	8328	7171	9594	9163	7617	7409	9464	8838	9163	6184	8674	9949	6929	6870	7702	8766	10189	8706	5956	9790	6665	5741	10357	9183
Neppyr	120816	101005	123146	131704	89064	93806	110138	108150	120671	85990	124799	145342	80556	89424	108087	117102	120005	132848	75508	122649	85635	72202	118548	146850
Cylclo	114896	322164	140700	162766	958283	979205	109710	105596	120078	225976	148091	130570	1205004	1073894	87608	103128	195885	134694	543226	149013	1339760	1211787	121378	105420
Skemen	101340	69354	108433	174039	111005	83814	95966	80558	90395	66008	94062	103775	88377	86125	75878	88637	101046	90856	76870	89676	102576	92577	109624	111438
Chasub	139580	104856	163234	153362	130705	115866	154152	128973	142295	96027	137601	155026	106283	114212	113022	137005	149821	136812	93861	140739	131279	119935	161544	146011
Amppal	93433	86470	118537	106302	155638	97797	102178	97301	105183	86731	103356	107525	114945	112399	87562	112399	110261	113846	102064	106932	119802	97937	113643	132442
Aurlim	186858	111782	184368	166662	125972	119463	153881	128799	145534	101855	165964	190495	108268	110955	140318	140591	174628	171786	97786	148131	160528	119693	181485	197963
Picokl	40442	28886	45269	41551	34527	30320	40535	35563	39151	26379	39557	46090	30056	30358	32426	37104	47309	42770	25835	40650	35838	30811	43549	40325
Aulsub	58189	54748	74608	67011	87180	62173	69156	63194	69849	50342	62891	69082	64678	64825	52503	64523	70450	64023	57839	69186	70205	65128	74717	65953
Linpol	699986	866886	680149	711420	536225	772557	777066	737849	808654	729059	879841	784358	663266	638498	779879	571298	721485	711923	488949	766259	658310	562427	818377	742392
Amosp	81934	75677	89710	79800	67041	72399	77432	76447	91243	61580	89343	99707	64484	66732	78564	71502	85333	87544	56587	86076	70938	49955	91598	87106
Maysp	126716	154567	159109	182693	254935	110938	160975	201639	122363	155339	193423	155962	123880	177297	263149	588528	232801	459845	214525	179307	155295	187918	155218	831551
Pelsub	170673	406312	257761	289519	274371	403588	338994	223494	325531	402991	216676	211879	201046	408440	329278	201017	203919	238899	496578	305221	609772	629513	153468	314371
Scyaps	122360	109892	139371	130492	95266	112459	121553	131519	135571	87946	129934	151617	89686	98082	128177	114431	133178	129524	76078	138295	91618	75486	134344	125769
Vitbra	79062	72068	86398	85246	69004	72761	75802	74605	86349	60942	83100	94759	64590	66343	70382	67005	80826	80027	55651	86740	64050	51784	83520	74765
Karbre	1190967	1207926	1304290	1171603	980038	1113068	1134662	1330034	1291280	945850	1285919	1323169	957032	987753	1390588	1179020	1340925	1374394	993207	1372572	996502	682424	1505610	1351782
Proine	54667	40458	62582	57573	57752	45101	60299	52223	55839	38559	53632	62008	46646	49898	44829	57472	58430	54983	39745	53583	56361	45089	68255	62480
Gonsp	100991	79923	107958	110810	73623	78449	94253	86230	99636	67389	101465	117898	68256	71206	81278	79680	105684	98542	58371	103852	69285	52750	104584	93722
Prosul	108458	95817	124049	128314	109319	86500	116035	113782	110000	84724	123005	124064	79851	94370	116561	178218	133714	163416	86914	120186	85138	81522	121347	241319
Rhosp	74274	67760	83343	111492	69919	63472	78026	98623	77085	79582	81701	87334	55345	68951	87209	105052	89929	100505	142053	81418	59479	54381	82009	137129
Chrrot	154297	136681	164691	160185	116610	132576	155197	183535	180352	115124	174710	219472	115370	118707	192884	150452	162970	162427	97964	187962	117307	93210	163676	163205
Promin	1399299	3630585	1536813	1541854	2733575	4394576	1059006	914110	1195491	2112659	1315755	1277413	2821263	2975596	1036978	727353	1828973	2005878	2921517	1887284	3456131	1664164	1269649	1492184
Crycur	102740	91387	112671	114078	89111	93065	110103	99703	112093	77390	109420	125765	80109	85846	94001	94547	111681	102993	67500	112002	81905	69605	118149	108711
Tridub	75825	62721	81945	81442	86335	66555	73328	68846	78131	57505	77205	89541	69439	66426	64061	64001	79130	76307	61473	81423	73565	57475	81721	80930
Struni	74801	68179	92014	87209	120996	83658	82787	76380	84827	67776	80156	87920	94309	89487	66499	76168	85792	80457	81726	85184	99740	83379	91823	77431
Dinacu	391235	432779	378112	381622	293491	384110	361312	373859	444867	353059	442013	439027	344420	328062	423394	311727	397304	404519	251535	418076	327764	184786	440886	398737
Urosp	46345	24139	59015	57519	33310	26712	62379	43481	44969	26300	39968	59896	25222	33699	34092	63830	47653	41168	25299	43186	29239	34450	60565	54763
Aurlag	139694	99320	166221	176798	125379	87162	211544	131506	148136	82023	115628	139191	82759	109205	179944	168640	164890	189732	324700	161621	134343	258441	134550	239755
