gID	E1-Q	E1-R	E1-S	E1-T	E1-V	E1-X	E1-Z1	E1-Z4	E2-Q	E2-R	E2-S	E2-T	E2-V	E2-X	E2-Z5	E2-Z9	E3-Q	E3-R	E3-S	E3-T	E3-V	E3-X	E3-Z10	E3-Z11
Scrhan	529870	657391	514337	522779	434315	588275	506510	558398	566073	518552	575249	579808	468939	479318	590040	467473	540969	558996	421768	575919	528570	299752	651424	605596
Cyaglo	61071	49355	68580	70405	57648	45218	63594	62031	55940	45902	66078	66518	42221	49171	62230	94824	70047	85825	45877	62012	47158	43805	69509	125688
Pseaus	129992	169888	154340	142828	449950	317322	139996	142419	147165	154601	148471	156978	270568	311746	132024	143224	149826	144599	289459	154201	486962	521621	158875	162683
Aurano	119179	168537	117361	122439	124953	161585	215307	166968	144099	158840	135454	164701	116392	156827	123402	99175	120776	121173	112362	223653	269322	292726	117605	125740
Conmag	44759	34166	56447	56949	42846	37978	64133	46746	50644	32630	46082	53842	34473	39221	37293	54253	53383	43595	29345	50283	34457	37446	64917	54648
Rhomac	77236	57332	82396	76901	61463	59014	70140	64313	72682	49876	76983	87920	52693	55069	65325	70339	72767	76979	46951	71752	60189	51298	80195	92455
Pavsp	140321	117942	159717	171755	141066	127606	180755	132692	178623	90718	158263	158385	129657	107468	174903	128500	147974	157230	267960	167968	125951	216975	140453	478857
RCC8569	1122	1119	1111	1199	1105	980	1092	1041	1207	933	1157	1344	966	1065	1059	901	1177	1043	863	1293	840	593	1232	1088
Favehr	78100	56291	76385	77087	54693	56017	74375	72175	81809	71779	77085	101240	59638	55757	66603	69917	78352	111215	50133	94288	74458	72771	86960	79903
D	226709	222643	256871	259499	227921	241325	215785	212836	222611	187460	238118	256597	197474	207821	207159	199148	239159	219631	169867	236667	202976	182227	242960	226008
Branut	529100	810215	526836	581089	458162	625440	600579	525288	590940	526972	479567	493530	378637	458817	608901	487061	518234	535790	609942	629456	511626	451822	616224	634210
Chlcf	63922	46285	71580	65493	48574	84888	65438	53403	59538	39702	60566	73659	39578	46735	52225	60184	65582	64076	39732	60383	54124	67372	69484	65912
RCC9986	7949	4081	7413	6977	4129	4276	5588	5106	5116	3595	6565	6943	3722	4024	4709	4625	6252	5362	2942	5180	4351	3284	6167	5730
Psehei	65092	114054	79494	74699	340049	272103	68944	67533	76583	92667	70422	78099	181817	258142	59052	64948	73993	70986	189676	77562	406981	508197	78618	69393
Aleand	208809	265328	205757	210863	178471	241837	210739	215107	252390	214592	235130	232389	197423	199591	237932	179274	228446	233558	165539	252887	208873	123774	250144	231079
Rhomar	115711	80354	125504	111134	89833	86315	104250	94144	106884	71398	114041	126095	77213	83260	91448	99142	116999	111570	69470	154092	94860	95899	125515	121509
Psepun	127252	150355	148067	141346	370999	252935	131452	128940	143561	139675	136405	152325	240092	259585	115294	121829	145774	139967	238892	145246	351264	363337	151252	129358
CCMP2111	52664	38521	58752	54208	37621	38421	44172	41195	46606	33550	52608	63857	35794	37408	39138	38127	52317	51260	31478	47086	40359	32193	50563	46846
Favtar	166648	135641	211925	240312	127421	128784	334676	173465	219111	129006	217711	218610	127002	126736	213486	208151	192882	227424	120121	235520	211901	460752	185008	182242
Bolsp	139203	117462	151367	164236	132349	114788	144023	130003	135837	103464	150255	163579	106152	113619	130030	161834	152036	165143	102013	141648	123975	100530	149712	212550
Gemcry	166854	138748	178001	170032	139806	146867	160460	154388	164309	117497	169994	185750	126293	133023	150941	146298	174595	161157	107898	171239	132083	110425	184953	180755
Timoli	35182	32748	43675	40979	38642	34118	40882	39649	42325	29169	39338	41584	31891	34493	32800	39747	43126	37973	26305	42349	29978	27087	46139	41534
Parves	66324	48685	84264	97948	85429	51506	94974	75052	76064	53393	73928	82907	54642	64575	69742	122761	90571	87525	55842	80880	58428	65750	91508	142140
Stacon	66233	65602	78408	70907	119602	78076	63958	66557	75543	68896	70899	80853	94303	87053	59656	61480	73377	72076	86036	77287	114507	77966	74364	66215
Pracap	59931	54611	64566	61566	47644	53312	52413	52785	59975	42741	60741	69321	43911	47043	50818	47739	62051	58407	38657	61471	45020	32343	60311	58694
Hanphi	106449	95492	113449	107826	85470	91796	96160	92609	108804	76591	113773	121896	78968	83321	89351	88856	116106	103325	66399	108899	78914	60357	112545	104631
Arisp	91366	63993	106518	106383	82417	66711	111887	88136	96105	65647	92529	106623	69404	72866	74084	98310	110536	91463	60592	97294	76568	65727	117887	108429
Rhiset	87565	69078	103980	108253	109671	79476	113758	92236	97142	72492	94184	99073	86834	90829	74430	103596	100710	83674	75876	98341	92258	93961	118306	108662
Synpus	54096	47526	49309	52090	38960	46638	44672	44380	52500	40668	56348	65207	39654	42447	47294	39053	49297	48568	36902	51662	50325	30577	52886	52416
Alefun	86714	110262	114842	128984	155635	80774	113453	143386	94250	108504	135288	110097	79583	119790	199392	380927	156353	304172	136215	132023	107443	142432	121934	577940
RCC9984	5287	3969	5563	5708	6022	4551	5425	4794	4874	4052	5275	6082	5646	4713	4456	4882	6566	5077	4864	5203	5614	4899	6295	5407
Chasp	111080	97440	131426	124291	160147	110842	124627	114190	128102	100175	119574	132877	131951	125873	100387	115429	134292	119038	113574	128899	141214	109580	137884	217041
Plecar	238507	192207	256638	282632	156082	177815	298858	257690	260253	148004	219129	288926	145449	168624	303882	200782	263398	260146	379533	281394	186275	291358	226661	716732
RCC2339	93349	79364	97218	99205	71954	78263	87279	82165	95638	67779	98039	111571	68136	72789	81036	75420	92159	90008	59036	95042	72860	60027	96781	88271
ParImp	123811	80013	132563	123617	94014	84560	111043	97681	108909	72600	115852	136401	78077	82372	92574	100386	125578	116767	69130	108063	110254	82035	123880	120735
Odoaur	114358	113411	128487	126310	156534	124210	112721	108471	124564	100335	120987	135854	134720	123383	100047	99329	123883	119303	116373	125616	136312	99077	123155	111492
Litpic	64538	49331	80434	82125	61728	53855	78462	64726	70802	46866	66482	70268	51281	56428	53434	72323	75108	60969	43324	71301	47228	47022	81754	71103
Chrsp	152101	177826	166711	164354	168887	187504	146270	156543	198466	143311	167364	192497	141268	159380	160718	144879	162830	170775	138375	183440	172936	129722	164672	176555
